ControlSet	CacheEntryPosition	Path	LastModifiedTimeUTC	Executed
1	140	C:\Windows\SYSTEM32\explorer.exe	2017-06-20 05:08:14	NA
1	141	C:\Windows\SysWOW64\explorer.exe	2017-06-20 05:08:14	NA
1	142	C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe	2017-04-25 13:12:12	NA
1	143	C:\Program Files (x86)\Adobe\Reader 11.0\Reader\AcroRd32.exe	2017-03-28 17:24:42	NA
1	144	C:\ProgramData\Adobe\Setup\{AC76BA86-7AD7-1033-7B44-AB0000000001}\setup.exe	2014-12-03 09:27:47	NA
1	145	C:\Users\Rock Hammerfist\AppData\Local\Adobe\3351CFFB-CF38-4C4D-9E6E-24C629624EED\D7AAD00E-A331-40BF-91DB-4A5562DEB6B9\61E2D849-16D9-449E-8395-5E282F5E53F5	2017-07-14 12:52:45	NA
1	146	C:\Users\Rock Hammerfist\AppData\Local\Adobe\3351CFFB-CF38-4C4D-9E6E-24C629624EED\gccheck_small.exe	2017-07-14 12:52:13	NA
1	147	C:\Users\Rock Hammerfist\AppData\Local\Adobe\3351CFFB-CF38-4C4D-9E6E-24C629624EED\gtcheck.exe	2017-07-14 12:52:13	NA
1	148	C:\Users\Rock Hammerfist\Downloads\reader11_en_xa_install.exe	2017-07-14 12:51:43	NA
1	149	C:\Users\ROCKHA~1\AppData\Local\Temp\198CB521-CA54-480A-9F59-0C9FA4CE6EAD\dismhost.exe	2017-03-18 11:40:21	NA
1	150	C:\Users\Rock Hammerfist\AppData\Local\Temp\198CB521-CA54-480A-9F59-0C9FA4CE6EAD\DismHost.exe	2017-03-18 11:40:21	NA
1	151	"00000009	000a429e3c330000	000a00003ac20000	8664	Microsoft.ZuneMusic	8wekyb3d8bbwe	"	1601-01-01 00:00:00	NA
1	152	C:\Program Files (x86)\SecondLifeViewer\SLVoice.exe	2017-05-24 13:02:42	NA
1	153	C:\Program Files (x86)\SecondLifeViewer\llplugin\llceflib_host.exe	2016-10-26 23:35:00	NA
1	154	C:\Program Files (x86)\SecondLifeViewer\SLPlugin.exe	2017-05-24 13:07:12	NA
1	155	C:\Program Files (x86)\SecondLifeViewer\win_crash_logger.exe	2017-05-24 13:07:10	NA
1	156	C:\Program Files (x86)\SecondLifeViewer\SecondLifeViewer.exe	2017-05-24 13:28:40	NA
1	157	C:\Program Files (x86)\SecondLifeViewer\autorun.bat	2017-07-13 15:31:10	NA
1	158	C:\Users\Rock Hammerfist\Downloads\Second_Life_5_0_6_326593_i686_Setup.exe	2017-07-13 15:30:35	NA
1	159	C:\Windows\system32\utilman.exe	2017-03-18 20:57:30	NA
1	160	C:\Users\ROCKHA~1\AppData\Local\Temp\4D5EE6C9-46C5-4BF8-9150-A94F1864AEC5\dismhost.exe	2017-03-18 11:40:21	NA
1	161	C:\Users\Rock Hammerfist\AppData\Local\Temp\4D5EE6C9-46C5-4BF8-9150-A94F1864AEC5\DismHost.exe	2017-03-18 11:40:21	NA
1	162	C:\Users\ROCKHA~1\AppData\Local\Temp\DFBA444B-3CA6-4C4D-B11F-BF1EF8F950F5\dismhost.exe	2017-03-18 11:40:21	NA
1	163	C:\Users\Rock Hammerfist\AppData\Local\Temp\DFBA444B-3CA6-4C4D-B11F-BF1EF8F950F5\DismHost.exe	2017-03-18 11:40:21	NA
1	164	C:\Windows\system32\makecab.exe	2017-03-18 20:57:58	NA
1	165	C:\Windows\System32\sdiagnhost.exe	2017-03-18 20:57:15	NA
1	166	C:\Windows\system32\tzsync.exe	2017-03-18 20:57:08	NA
1	167	C:\Program Files (x86)\OpenOffice 4\program\soffice.bin	2016-09-29 17:15:42	NA
1	168	"00000009	000a000300000000	000a000038390000	8664	KeeperSecurityInc.Keeper	kejf07qmg0jnm	"	1601-01-01 00:00:00	NA
1	169	C:\Program Files (x86)\OpenOffice 4\program\swriter.exe	2016-09-29 17:15:44	NA
1	170	C:\Program Files (x86)\OpenOffice 4\program\smath.exe	2016-09-29 17:15:44	NA
1	171	C:\Program Files (x86)\OpenOffice 4\program\simpress.exe	2016-09-29 17:15:44	NA
1	172	C:\Program Files (x86)\OpenOffice 4\program\sdraw.exe	2016-09-29 17:15:44	NA
1	173	C:\Program Files (x86)\OpenOffice 4\program\sbase.exe	2016-09-29 17:15:42	NA
1	174	C:\Program Files (x86)\OpenOffice 4\program\scalc.exe	2016-09-29 17:15:42	NA
1	175	C:\Program Files (x86)\OpenOffice 4\program\unopkg.bin	2016-09-29 15:12:00	NA
1	176	C:\Program Files (x86)\OpenOffice 4\program\unopkg.exe	2016-09-29 14:54:56	NA
1	177	C:\Program Files (x86)\OpenOffice 4\program\soffice.exe	2016-09-29 17:15:42	NA
1	178	C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_17.8241.41225.0_x64__8wekyb3d8bbwe\Application	2017-07-12 19:50:44	NA
1	179	"00000009	00112031a1090000	000a00003aa90000	8664	microsoft.windowscommunicationsapps	8wekyb3d8bbwe	"	1601-01-01 00:00:00	NA
1	180	"00000009	000206ab03f90000	000a00003ad70000	8664	Microsoft.MSPaint	8wekyb3d8bbwe	"	1601-01-01 00:00:00	NA
1	181	c:\ae1c39aa9783bb80c0dfab5ac15b43\install.exe	2011-04-19 04:30:10	NA
1	182	C:\Users\Rock Hammerfist\Desktop\OpenOffice 4.1.3 (en-US) Installation Files\redist\vcredist_x86.exe	2016-09-29 16:21:46	NA
1	183	c:\6681009d9942b5a3fdc06e4e94a05e\install.exe	2011-04-19 08:09:16	NA
1	184	C:\Users\Rock Hammerfist\Desktop\OpenOffice 4.1.3 (en-US) Installation Files\redist\vcredist_x64.exe	2016-09-29 16:21:46	NA
1	185	C:\Users\Rock Hammerfist\Desktop\OpenOffice 4.1.3 (en-US) Installation Files\setup.exe	2016-09-29 16:21:48	NA
1	186	C:\Users\Rock Hammerfist\AppData\Local\Packages\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\TempState\Downloads\Apache_OpenOffice_4.1.3_Win_x86_install_en-US.exe	2017-07-12 19:48:42	NA
1	187	C:\Windows\system32\DsmUserTask.Exe	2017-03-18 20:57:08	NA
1	188	C:\Windows\system32\ipconfig.exe	2017-03-18 20:57:50	NA
1	189	C:\Windows\System32\Macromed\Flash\FlashUtil_ActiveX.exe	2017-06-30 14:47:29	NA
1	190	C:\$Recycle.Bin\S-1-5-21-99675835-1998891890-1791891034-1000\$RAOTNXW.exe	2017-07-06 15:50:12	NA
1	191	C:\Program Files\VMware\VMware Tools\VMToolsHookProc.exe	2017-03-17 11:56:22	NA
1	192	C:\Windows\SysWOW64\DllHost.exe	2017-03-18 20:58:47	NA
1	193	C:\Windows\system32\Sysprep\sysprep.exe	2017-03-18 20:57:08	NA
1	194	C:\Windows\SoftwareDistribution\Download\Install\Windows-KB890830-x64-V5.50-delta.exe	2017-07-12 12:46:27	NA
1	195	C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2017.18062.13720.0_x64__8wekyb3d8bbwe\Application	2017-07-11 21:28:22	NA
1	196	"00000009	07e1468e35980000	000a00003ad70000	8664	Microsoft.Windows.Photos	8wekyb3d8bbwe	"	1601-01-01 00:00:00	NA
1	197	"00000009	000b001d59db0000	000a000037ec0000	8664	Microsoft.XboxIdentityProvider	8wekyb3d8bbwe	"	1601-01-01 00:00:00	NA
1	198	C:\Windows\system32\srtasks.exe	2017-03-18 20:59:52	NA
1	199	C:\Users\ROCKHA~1\AppData\Local\Temp\9F3FC23D-41C4-4BE3-873F-E4F81E6CE74A\dismhost.exe	2017-03-18 11:40:21	NA
1	200	C:\Users\Rock Hammerfist\AppData\Local\Temp\9F3FC23D-41C4-4BE3-873F-E4F81E6CE74A\DismHost.exe	2017-03-18 11:40:21	NA
1	201	C:\Windows\system32\mcbuilder.exe	2017-03-18 20:57:20	NA
1	202	C:\Windows\system32\lpremove.exe	2017-03-18 20:58:29	NA
1	203	C:\Users\ROCKHA~1\AppData\Local\Temp\31211391-3779-4A12-842F-FA2903407F0C\dismhost.exe	2017-03-18 11:40:21	NA
1	204	C:\Users\Rock Hammerfist\AppData\Local\Temp\31211391-3779-4A12-842F-FA2903407F0C\DismHost.exe	2017-03-18 11:40:21	NA
1	205	C:\Program Files\WindowsApps\9E2F88E3.Twitter_5.8.1.0_x86__wgeqdkkx372wm\Application	2017-07-07 16:36:20	NA
1	206	"00000000	0005000800010000	000a00003ad70000	014c	9E2F88E3.Twitter	wgeqdkkx372wm	"	1601-01-01 00:00:00	NA
1	207	"00000000	0005000800010000	000a00003ad70000	8664	9E2F88E3.Twitter	wgeqdkkx372wm	"	1601-01-01 00:00:00	NA
1	208	C:\Users\ROCKHA~1\AppData\Local\Temp\F3370DDD-CAD5-482C-811C-C97EA277C416\dismhost.exe	2017-03-18 11:40:21	NA
1	209	C:\Users\Rock Hammerfist\AppData\Local\Temp\F3370DDD-CAD5-482C-811C-C97EA277C416\DismHost.exe	2017-03-18 11:40:21	NA
1	210	C:\Users\Rock Hammerfist\AppData\Local\Google\Chrome\User Data\SwReporter\19.108.1\software_reporter_tool.exe	2017-06-01 14:58:26	NA
1	211	C:\Windows\TEMP\avg_a06592\MachineIdCreator.exe	2017-07-06 16:27:57	NA
1	212	C:\Program Files (x86)\Mozilla Thunderbird\uninstall\helper.exe	2017-06-22 14:27:10	NA
1	213	C:\Windows\system32\winsat.exe	2017-03-18 20:57:20	NA
1	214	C:\Users\ROCKHA~1\AppData\Local\Temp\87C6D110-A6FD-4BED-908C-3732E664B6ED\dismhost.exe	2017-03-18 11:40:21	NA
